"ref_epoch_idx","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice__MAX"
"0","100000","100000","100000","0.15059673332919676","0.15059673332919676","0.15059673332919676","100000","100000","100000","0.12654220582917333","0.12654220582917333","0.12654220582917333","100000","100000","100000","0.13262926116585733","0.13262926116585733","0.13262926116585733","100000","100000","100000","0.14974172512690226","0.14974172512690226","0.14974172512690226"
"1","100001","100001","100001","0.16503465306013823","0.16503465306013823","0.16503465306013823","100001","100001","100001","0.19084884971380234","0.19084884971380234","0.19084884971380234","100001","100001","100001","0.16060813913742703","0.16060813913742703","0.16060813913742703","100001","100001","100001","0.2012274142354727","0.2012274142354727","0.2012274142354727"
"2","100002","100002","100002","0.2144828421374162","0.2144828421374162","0.2144828421374162","100002","100002","100002","0.2469728243847688","0.2469728243847688","0.2469728243847688","100002","100002","100002","0.23122690220673878","0.23122690220673878","0.23122690220673878","100002","100002","100002","0.1929357645412286","0.1929357645412286","0.1929357645412286"
"3","100003","100003","100003","0.23821038023258248","0.23821038023258248","0.23821038023258248","100003","100003","100003","0.2973830050478379","0.2973830050478379","0.2973830050478379","100003","100003","100003","0.23321096772948902","0.23321096772948902","0.23321096772948902","100003","100003","100003","0.2154963272313277","0.2154963272313277","0.2154963272313277"
"4","100004","100004","100004","0.30861369902268054","0.30861369902268054","0.30861369902268054","100004","100004","100004","0.3399867285043001","0.3399867285043001","0.3399867285043001","100004","100004","100004","0.27190569614370663","0.27190569614370663","0.27190569614370663","100004","100004","100004","0.27765658448139824","0.27765658448139824","0.27765658448139824"
"5","100005","100005","100005","0.29321334362030027","0.29321334362030027","0.29321334362030027","100005","100005","100005","0.38797555019458135","0.38797555019458135","0.38797555019458135","100005","100005","100005","0.27410484006007513","0.27410484006007513","0.27410484006007513","100005","100005","100005","0.29608427609006566","0.29608427609006566","0.29608427609006566"
"6","100006","100006","100006","0.31137329249953233","0.31137329249953233","0.31137329249953233","100006","100006","100006","0.4236505291114251","0.4236505291114251","0.4236505291114251","100006","100006","100006","0.3017472341656685","0.3017472341656685","0.3017472341656685","100006","100006","100006","0.3358456482489904","0.3358456482489904","0.3358456482489904"
"7","100007","100007","100007","0.3434701477487882","0.3434701477487882","0.3434701477487882","100007","100007","100007","0.4337772991508245","0.4337772991508245","0.4337772991508245","100007","100007","100007","0.3430831268429756","0.3430831268429756","0.3430831268429756","100007","100007","100007","0.36751087605953214","0.36751087605953214","0.36751087605953214"
"8","100008","100008","100008","0.3785339693228404","0.3785339693228404","0.3785339693228404","100008","100008","100008","0.4684421586493651","0.4684421586493651","0.4684421586493651","100008","100008","100008","0.3554164332648118","0.3554164332648118","0.3554164332648118","100008","100008","100008","0.40449378192424773","0.40449378192424773","0.40449378192424773"
"9","100009","100009","100009","0.39962904204924904","0.39962904204924904","0.39962904204924904","100009","100009","100009","0.5086111817508936","0.5086111817508936","0.5086111817508936","100009","100009","100009","0.38691550493240356","0.38691550493240356","0.38691550493240356","100009","100009","100009","0.4197326918443044","0.4197326918443044","0.4197326918443044"
"10","100010","100010","100010","0.40265927761793135","0.40265927761793135","0.40265927761793135","100010","100010","100010","0.5451466696957747","0.5451466696957747","0.5451466696957747","100010","100010","100010","0.39750215311845144","0.39750215311845144","0.39750215311845144","100010","100010","100010","0.4570398117105166","0.4570398117105166","0.4570398117105166"
